model_id,downloads,cumulative_downloads,likes,created_at,last_modified,tags,sha,associated_library,model_using_spaces,paper_ids,model_card_language_roberta,readme_length,is_base_model,organization_id,paper_id,github_url
databricks/dolly-v2-12b,3118,,1946,2023-04-11 16:10:54+00:00,2023-06-30 18:33:03+00:00,"['transformers', 'pytorch', 'gpt_neox', 'text-generation', 'en', 'dataset:databricks/databricks-dolly-15k', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'region:us']",19308160448536e378e3db21a73a751579ee7fdd,transformers,,[],en,1010,True,databricks,'https://www.databricks.com/blog/2023/04/12/dolly-first-open-commercially-viable-instruction-tuned-llm',https://github.com/databrickslabs/dolly
deepseek-ai/DeepSeek-V2-Chat,1708,,441,2024-04-28 09:53:56+00:00,2024-06-08 09:14:11+00:00,"['transformers', 'safetensors', 'deepseek_v2', 'text-generation', 'conversational', 'custom_code', 'arxiv:2405.04434', 'arxiv:2311.18743', 'license:other', 'autotrain_compatible', 'region:us']",8e3f5f6c2226787e41ba3e9283a06389d178c926,transformers,,"['2405.04434', '2311.18743']",en,1287,True,deepseek-ai,'2405.04434',
distil-whisper/distil-large-v2,62660,,501,2023-10-24 15:48:32+00:00,2024-03-21 19:32:46+00:00,"['transformers', 'pytorch', 'jax', 'tensorboard', 'onnx', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'transformers.js', 'en', 'arxiv:2311.00430', 'arxiv:2210.13352', 'license:mit', 'endpoints_compatible', 'region:us']",66bb165856c86b9eae9dba7830c0cd7d859f4ef4,transformers,,"['2311.00430', '2210.13352']",en,1740,True,distil-whisper,'2311.00430',https://github.com/huggingface/distil-whisper/tree/main/training
facebook/seamless-m4t-v2-large,114200,,622,2023-11-29 14:37:04+00:00,2024-01-04 12:48:26+00:00,"['transformers', 'safetensors', 'seamless_m4t_v2', 'feature-extraction', 'audio-to-audio', 'text-to-speech', 'seamless_communication', 'automatic-speech-recognition', 'af', 'am', 'ar', 'as', 'az', 'be', 'bn', 'bs', 'bg', 'ca', 'cs', 'zh', 'cy', 'da', 'de', 'el', 'en', 'et', 'fi', 'fr', 'or', 'om', 'ga', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'ig', 'id', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'mn', 'km', 'ky', 'ko', 'lo', 'ln', 'lt', 'lb', 'lg', 'lv', 'ml', 'mr', 'mk', 'mt', 'mi', 'my', 'nl', 'nb', 'ne', 'ny', 'oc', 'pa', 'ps', 'fa', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sn', 'sd', 'so', 'es', 'sr', 'sv', 'sw', 'ta', 'te', 'tg', 'tl', 'th', 'tr', 'uk', 'ur', 'uz', 'vi', 'wo', 'xh', 'yo', 'ms', 'zu', 'ary', 'arz', 'yue', 'kea', 'arxiv:2312.05187', 'license:cc-by-nc-4.0', 'region:us']",5f8cc790b19fc3f67a61c105133b20b34e3dcb76,transformers,,['2312.05187'],en,1778,True,facebook,'2312.05187',
google/gemma-7b,252628,,3024,2024-02-08 22:36:43+00:00,2024-06-27 14:09:40+00:00,"['transformers', 'safetensors', 'gguf', 'gemma', 'text-generation', 'arxiv:2305.14314', 'arxiv:2312.11805', 'arxiv:2009.03300', 'arxiv:1905.07830', 'arxiv:1911.11641', 'arxiv:1904.09728', 'arxiv:1905.10044', 'arxiv:1907.10641', 'arxiv:1811.00937', 'arxiv:1809.02789', 'arxiv:1911.01547', 'arxiv:1705.03551', 'arxiv:2107.03374', 'arxiv:2108.07732', 'arxiv:2110.14168', 'arxiv:2304.06364', 'arxiv:2206.04615', 'arxiv:1804.06876', 'arxiv:2110.08193', 'arxiv:2009.11462', 'arxiv:2101.11718', 'arxiv:1804.09301', 'arxiv:2109.07958', 'arxiv:2203.09509', 'license:gemma', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",ff6768d9368919a1f025a54f9f5aa0ee591730bb,transformers,,"['2305.14314', '2312.11805', '2009.03300', '1905.07830', '1911.11641', '1904.09728', '1905.10044', '1907.10641', '1811.00937', '1809.02789', '1911.01547', '1705.03551', '2107.03374', '2108.07732', '2110.14168', '2304.06364', '2206.04615', '1804.06876', '2110.08193', '2009.11462', '2101.11718', '1804.09301', '2109.07958', '2203.09509']",en,2181,True,google,,
ibm-granite/granite-timeseries-ttm-v1,462419,,169,2024-04-05 03:20:10+00:00,2024-09-13 11:48:45+00:00,"['transformers', 'safetensors', 'tinytimemixer', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:2401.03955', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",5653fb4599fbe205cd863eec33d9258c7e356201,transformers,,['2401.03955'],en,1264,True,ibm-granite,'2401.03955',https://github.com/ibm-granite/granite-tsfm/tree/main/tsfm_public/models/tinytimemixer
jbetker/tortoise-tts-v2,0,,210,2022-04-18 22:41:14+00:00,2023-05-26 17:11:59+00:00,"['arxiv:2102.12092', 'arxiv:2102.09672', 'arxiv:2106.07889', 'region:us']",b20a372926b4d6132bcec0a7087f5dd14c8d9e10,,,"['2102.12092', '2102.09672', '2106.07889']",en,2159,True,jbetker,'https://arxiv.org/abs/2305.07243',https://github.com/neonbjb/tortoise-tts
lambdalabs/sd-image-variations-diffusers,16359,,399,2022-09-09 14:53:35+00:00,2023-02-08 15:10:13+00:00,"['diffusers', 'stable-diffusion', 'stable-diffusion-diffusers', 'image-to-image', 'dataset:ChristophSchuhmann/improved_aesthetics_6plus', 'license:creativeml-openrail-m', 'diffusers:StableDiffusionImageVariationPipeline', 'region:us']",42bc0ee1726b141d49f519a6ea02ccfbf073db2e,diffusers,,[],en,1216,True,lambdalabs,,https://github.com/LambdaLabsML/lambda-diffusers
llm-blender/PairRM,54317,,181,2023-11-06 07:08:24+00:00,2024-01-22 15:47:01+00:00,"['transformers', 'safetensors', 'deberta', 'reward_model', 'reward-model', 'RLHF', 'evaluation', 'llm', 'instruction', 'reranking', 'text-generation', 'en', 'dataset:openai/summarize_from_feedback', 'dataset:openai/webgpt_comparisons', 'dataset:Dahoas/synthetic-instruct-gptj-pairwise', 'dataset:Anthropic/hh-rlhf', 'dataset:lmsys/chatbot_arena_conversations', 'dataset:openbmb/UltraFeedback', 'arxiv:2306.02561', 'arxiv:2112.09332', 'license:mit', 'endpoints_compatible', 'region:us']",5b880cc73776ac75a835b3e0bd5169bcb5be013b,transformers,,"['2306.02561', '2112.09332']",en,1149,True,llm-blender,'2306.02561',https://github.com/yuchenlin/LLM-Blender
meta-llama/Meta-Llama-3-8B,2000824,,5627,2024-04-17 09:35:16+00:00,2024-05-13 09:35:46+00:00,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'license:llama3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",62bd457b6fe961a42a631306577e622c83876cb6,transformers,,[],en,2959,True,meta-llama,,https://github.com/meta-llama/llama3/blob/main/MODEL_CARD.md
